start_date,months,nw_buy,nw_rent,R,winner,mortgage_rate,pr_ratio,sdlt_paid
2005-01-31,258,254658.3529884687,367821.3757936647,1.444371926061739,RENT,0.053155,19.536042807885053,1623.1185694371843
2005-02-28,257,254350.39280757893,363769.6092449475,1.4301908687050715,RENT,0.05327,19.487404724356676,1621.3459609688098
2005-03-31,256,253714.23807177116,364935.7872642915,1.4383733054865362,RENT,0.053955,19.545664886462163,1627.5373741069873
2005-04-30,255,252684.01485556999,370994.82381235313,1.4682164363440546,RENT,0.05351,19.72421080282911,1645.3802613695766
2005-05-31,254,251961.17284484656,372979.65074957523,1.4803060588198238,RENT,0.052039999999999996,19.84358971666457,1659.5539501655342
2005-06-30,253,251418.50607817472,355888.28767269035,1.4155214475820341,RENT,0.05041,19.905043179259703,1667.1973044084334
2005-07-31,252,250534.88668282778,351004.4072158205,1.40102008092863,RENT,0.04928,20.053105569640874,1683.42058024046
2005-08-31,251,249767.13327442636,340724.55698050355,1.3641689061071924,RENT,0.049269999999999994,20.06733870316663,1689.1286356508103
2005-09-30,250,249293.3827119238,338476.97447945154,1.3577455237573863,RENT,0.049080000000000006,20.00086888865265,1687.6923453563338
2005-10-31,249,249110.97911910815,323546.7745935657,1.2988057601382046,RENT,0.04938,19.87702251322258,1680.1243944938142
2005-11-30,248,248248.18285448255,335812.45084336994,1.3527287369519863,RENT,0.050845,19.926018179989118,1687.0364854504267
2005-12-31,247,247398.89523883237,332683.3026152688,1.3447242854261945,RENT,0.051045,19.971898955085432,1696.8087767903817
2006-01-31,246,247070.8995573586,326840.5130057513,1.3228612256291794,RENT,0.050245,19.872365023782265,1693.7886739850146
2006-02-28,245,246532.00233301893,327169.1356344744,1.327085865276548,RENT,0.050455,19.864399882003124,1695.2604913748041
2006-03-31,244,245671.0540420906,330162.0523523044,1.343919224182341,RENT,0.050679999999999996,19.962460079330178,1706.6636539466804
2006-04-30,243,243889.7239682345,343870.6528887378,1.4099431796213167,RENT,0.051615,20.272674830958387,1736.2163042341872
2006-05-31,242,242675.61950792852,362523.80312052555,1.4938616572015444,RENT,0.054204999999999996,20.404567281141173,1751.110791078585
2006-06-30,241,241797.38069289192,378311.4997980479,1.5645806365394141,RENT,0.054720000000000005,20.583606343586357,1768.9381285938318
2006-07-31,240,240897.48496501445,379485.2065485658,1.5752975030174288,RENT,0.054695,20.777276728315094,1789.1461787767903
2006-08-31,239,240133.8466806113,383388.766987442,1.5965628014836495,RENT,0.055595000000000006,20.902212295279536,1803.0145617703436
2006-09-30,238,239975.7664041538,373633.5476575444,1.5569636603568195,RENT,0.055439999999999996,20.93980637192692,1809.553484927688
2006-10-31,237,239019.5390156645,372724.09149852535,1.559387542263222,RENT,0.05514,21.010066517323313,1817.7250583725386
2006-11-30,236,237608.87629322615,379382.5323541791,1.5966681812256636,RENT,0.05612,21.051524973371848,1824.6982052622407
2006-12-31,235,235654.88720443565,394228.3685337852,1.672905549341668,RENT,0.05611,21.28775708779791,1849.8902892489984
2007-01-31,234,234622.54701892685,399466.8424899972,1.7025935809049608,RENT,0.057640000000000004,21.266925266456447,1853.1591792995296
2007-02-28,233,233280.01588872567,407191.0492624123,1.74550335017399,RENT,0.058785,21.316063919269954,1860.440653423941
2007-03-31,232,231430.68321582454,418907.7710875542,1.810078790187448,RENT,0.05895,21.42608205510687,1874.1180048788985
2007-04-30,231,229148.26101110465,433938.24362780125,1.8937007931592915,RENT,0.0601,21.690973125978637,1902.8423749782191
2007-05-31,230,226888.2384683987,445338.0437032411,1.9628079741351088,RENT,0.05974,21.922652024955767,1926.508111169193
2007-06-30,229,224984.82481328715,455632.69332938525,2.0251707807738173,RENT,0.062815,22.117086679172523,1947.3335232618922
2007-07-31,228,221737.56511142512,486159.58859631844,2.192499896677493,RENT,0.06473,22.411867860634768,1978.680900853807
2007-08-31,227,220263.0272602872,497538.5760745935,2.2588383636743847,RENT,0.06511,22.454013513013688,1988.6626537724344
2007-09-30,226,219033.92566368706,495434.3898895493,2.261907092192914,RENT,0.06454,22.463193476227286,1995.704790033107
2007-10-31,225,216231.73675111015,489443.8982687608,2.263515548747254,RENT,0.0645,22.390155415569996,1995.0492246035892
2007-11-30,224,216120.75095927436,476637.44432180276,2.2054219329064795,RENT,0.06327999999999999,22.296374011039333,1992.931728524133
2007-12-31,223,216633.8469686681,469355.88935154135,2.166586135634773,RENT,0.063165,22.197590910059013,1990.3736190974041
2008-01-31,222,218665.09384869537,432973.3862076114,1.9800754596305434,RENT,0.06141,21.887201776132898,1972.0847046523784
2008-02-29,221,219924.39681251283,423012.2715993075,1.9234440459096884,RENT,0.060265000000000006,21.639391324373197,1952.3260202125803
2008-03-31,220,220250.13228557195,414064.17075098405,1.8799724043485098,RENT,0.06090500000000001,21.437902227780008,1938.561923680084
2008-04-30,219,219556.78506318253,425142.19557414425,1.9363655532294288,RENT,0.063835,21.42072453335389,1940.6518017076146
2008-05-31,218,218424.53682737768,424485.51587888465,1.9433966625020627,RENT,0.06588500000000001,21.440039650345362,1946.1674281233663
2008-06-30,217,218533.34358121362,415419.75027168164,1.9009444667069721,RENT,0.06801499999999999,21.10221127281928,1921.0910419933784
2008-07-31,216,218060.06447123887,420095.1192128644,1.9265110291126828,RENT,0.067935,20.951235402014046,1910.8429133995471
2008-08-31,215,220934.32406491216,386320.1575264782,1.7485746461603422,RENT,0.066455,20.368456400352784,1861.7420770169022
