region,price,rent,pr_ratio,sdlt,rar_stocks_pct,rar_gilts_pct
North East,163190.0,776.0,17.524699312714777,0.0,0.49549937291825463,0.014363267265741355
North West,216138.0,951.0,18.939537329127234,0.0,1.2049662261282112,0.7155600844382948
Yorkshire and The Humber,207974.0,855.0,20.27037037037037,0.0,1.749018592220415,1.2535269547130656
West Midlands,234635.0,964.0,20.28310857538036,0.0,1.7537587109316775,1.2582149777766205
South West,302618.0,1231.0,20.485919306796642,130.9,1.835666817902996,1.3388776859474878
London,552655.0,2290.0,20.111171761280932,17632.75,2.2360898351971534,1.7105821880187646
East Midlands,241620.0,911.0,22.102085620197585,0.0,2.3571784854629128,1.8551268148862172
East of England,336300.0,1278.0,21.928794992175273,1815.0,2.3946153260658747,1.888046812205046
South East,376819.0,1414.0,22.20762611975483,3840.9500000000003,2.554962152630682,2.0431579939577915
