horizon_years,rar_stocks_pct,rar_stocks_realised_pct,rar_gilts_pct
3,2.7694540279370456,3.5322878164932208,2.616815783377416
5,2.270594654476928,3.237340807558652,2.08361408522505
7,2.025010503574502,3.221613859287432,1.8003277347168962
10,1.7884613144440047,3.38299463960728,1.4995755826547583
