date,home_value,mortgage_balance,mortgage_payment,maintenance,owner_outflow,rent,portfolio,net_flow,buy_equity
2011-04-30,181951.8001393973,130017.1288981556,691.4666223519573,227.43975017424663,918.906372526204,778.2564906778184,57686.63208852792,140.64988184838558,51934.6712412417
2011-05-31,180404.44119184546,129734.56928707934,692.1419345295661,225.50555148980683,917.647486019373,779.3620839867573,57841.6078044237,138.2854020326157,50669.871904766114
2011-06-30,180765.7757449035,129451.49007691635,692.1419345295662,225.9572196811294,918.0991542106956,781.0351977696463,57486.444954419574,137.0639564410493,51314.28566798716
2011-07-31,183774.58302840235,129167.51829699683,681.4365572933391,229.71822878550296,911.1547860788421,782.4892838473601,58140.3918619705,128.66550223148204,54607.064731405524
2011-08-31,183812.32601498545,128876.70860368083,674.1437459669932,229.76540751873182,903.909153485725,784.2249520822443,56055.99649966766,119.68420140348076,54935.617411304615
2011-09-30,183301.05314514748,128580.8789567993,668.8790366875381,229.12631643143436,898.0053531189725,786.4181913225301,52490.4911255085,111.58716179644239,54720.17418834819
2011-10-31,181748.89667189427,128281.14260080658,666.9157910714904,227.18612083986784,894.1019119113582,787.7020386826973,49784.99714387141,106.39987322866091,53467.75407108769
2011-11-30,181623.49137480423,127979.40109077605,661.7098242360543,227.0293642185053,888.7391884545596,789.6070744032061,53305.13969917463,99.13211405135348,53644.09028402818
2011-12-31,181538.92524830127,127673.73435381423,666.2499700813484,226.9236565603766,893.1736266417249,792.0540163791601,53160.36129279186,101.11961026256483,53865.19089448704
2012-01-31,181156.32340128964,127369.89833324535,662.3694505525621,226.44540425161205,888.814854804174,794.0787593657433,53788.23112153388,94.73609543843077,53786.42506804429
2012-02-29,180993.74978219226,127062.90573642978,668.8229172048677,226.24218722774032,895.065104432608,795.4931172678166,56144.95380507157,99.57198716479138,53930.84404576248
2012-03-31,180826.60550618597,126758.86755254578,677.8796255970401,226.03325688273247,903.9128824797726,796.6156124760412,58351.14085182874,107.29727000373146,54067.737953640186
2012-04-30,183769.7597142362,126459.2203811415,677.2328041714585,229.71219964279524,906.9450038142537,798.5352848928385,58829.751641871844,108.40971892141522,57310.5393330947
2012-05-31,184698.34657605877,126158.30602791187,684.3416972811804,230.87293322007346,915.2146305012539,800.1557762676424,57322.1207448228,115.05885423361144,58540.040548146906
2012-06-30,186097.6994249872,125860.57450901382,689.5175965488337,232.622124281234,922.1397208300677,801.6107335772782,55159.213116049534,120.52898725278953,60237.12491597337
2012-07-31,187402.75274438085,125564.86482334786,689.5175965488336,234.25344093047607,923.7710374793096,803.197421153511,56920.71572352135,120.57361632579864,61837.88792103299
2012-08-31,187914.62920369426,125268.22988516344,690.8063837352005,234.89328650461783,925.6996702398183,804.5455654295174,57877.14085431097,121.15410481030085,62646.39931853082
2012-09-30,187324.99930301472,124971.39511058648,685.6740177012202,234.1562491287684,919.8302668299887,806.8902247778358,58449.72965950203,112.94004205215288,62353.60419242823
2012-10-31,186577.78306325167,124670.70774208047,684.3977533937585,233.2222288290646,917.6199822228232,808.6889702038683,59411.8514336614,108.9310120189549,61907.0753211712
2012-11-30,186416.65743160853,124368.36144512157,683.126637994152,233.02082178951068,916.1474597836627,809.6328628680955,59255.477648180604,106.51459691556727,62048.29598648696
2012-12-31,186742.20299703805,124064.35534990359,679.3320594473857,233.42775374629758,912.7598131936834,811.1848754138351,60430.290751572946,101.57493777984826,62677.84764713446
2013-01-31,185451.30806760787,123757.2165536952,671.1709368692548,231.81413508450984,902.9850719537646,812.4180170761457,61026.6899605363,90.56705487761894,61694.091513912674
2013-02-28,185816.27687750506,123444.33753984903,669.3003344833571,232.27034609688133,901.5706805802384,813.3075448684439,65541.2015659303,88.26313571179458,62371.93933765603
2013-03-31,186511.47255619476,123129.4333958861,664.9594651328142,233.13934069524345,898.0988058280577,814.0184701167451,68530.1845447203,84.08033571131261,63382.03916030866
2013-04-30,188889.86373932767,122811.00431990347,657.573785258005,236.11232967415958,893.6861149321646,815.4282976128245,69838.80676355443,78.25781731934012,66078.8594194242
2013-05-31,189522.49294302167,122487.15116832308,655.1288643369471,236.90311617877708,892.0319805157242,816.6943718417843,70153.90830216216,75.33760867393983,67035.3417746986
2013-06-30,190965.9900679563,122160.89938143706,652.6964967925661,238.70748758494537,891.4039843775115,817.4377069175814,71891.37373136864,73.9662774599301,68805.09068651924
2013-07-31,193797.8419585296,121832.24959836825,649.0684014599486,242.247302448162,891.3157039081107,818.7921240634257,69827.16230511351,72.52357984468495,71965.59236016136
