region,pop,price,rent,pr_ratio,sdlt,R_single,buy_win,R_median,gap_mean_gbp,gap_median_gbp,negative_equity_cohorts,rar_stocks_pct,rar_stocks_realised_pct,rar_gilts_pct,appreciation_pct
North East,2.65,165550.0,781.0,17.664319248826292,0.0,2.126230991192849,0.38190954773869346,1.1117426971070703,5389.616994857041,6309.193642906495,11,1.165739547872377,2.0352176567836744,0.9986339788918821,2.1275704455749667
North West,7.52,219922.0,961.0,19.07058619493583,0.0,1.3801142769294275,0.5527638190954773,0.7734950915871471,-5015.203685850705,-7126.67983737927,5,1.6866784830676083,2.598356318581028,1.510886116911956,3.257826782536566
Yorkshire and The Humber,5.56,207948.0,862.0,20.103248259860788,0.0,1.6491700592213303,0.5175879396984925,0.9333672272563016,-777.813477529971,-2923.4680251356767,0,2.0171256022661685,2.955129754651622,1.835907200375858,2.9342229515795903
West Midlands,6.11,234731.0,971.0,20.145125300377618,0.0,1.725548354755216,0.6331658291457286,0.8123958556983066,-6211.486625322382,-12248.561204456746,0,2.0297247107288046,2.9687259563908164,1.8483007002054246,3.0035885723791234
South West,5.8,304562.0,1237.0,20.517515494475884,228.10000000000002,2.1772032667695536,0.4824120603015075,1.0111707772472593,3506.197173147226,700.5552992132216,0,2.1586504955510475,3.109992607430402,1.9747224756652932,2.768098684672804
East Midlands,5.02,240457.0,918.0,21.827977487291214,0.0,2.1863619662390943,0.5628140703517588,0.952318152523662,1188.4456459938797,-3326.8305938136837,0,2.4916266292592923,3.466850988122712,2.302728200330671,2.9034341050788948
East of England,6.4,338707.0,1281.0,22.034022898776996,1935.3500000000001,1.9368512762470704,0.48743718592964824,1.0113622086359912,1052.584202231792,1089.0379114899988,0,2.6882303666914877,3.6948286975815225,2.493158327161724,3.174026956577891
London,8.87,553870.0,2302.0,20.050318563567913,17693.5,1.0952535944386348,0.4271356783919598,1.1168254695780702,-546.6812405858362,16223.12391400963,0,2.8207425880634425,3.9110406534008955,2.609739889108046,3.807022459032372
South East,9.46,380380.0,1415.0,22.401648998822143,4019.0,1.999000447020681,0.41708542713567837,1.0797796175682728,5916.851632222295,6575.300221169324,0,2.898852491544193,3.935075656399894,2.6979093820813063,3.117577918356873
