years,n,buy_pct,rent_pct,med_R
1,240,30,70,1.0844960294973494
2,228,51,49,0.9840335334626263
3,216,63,37,0.9278628523973926
5,192,76,24,0.8161240842908546
7,168,76,24,0.7392773749705912
10,132,88,12,0.7408881379399808
12,108,89,11,0.7577174945808876
15,72,86,14,0.8566370351208452
