start_date,months,nw_buy,nw_rent,R,winner,mortgage_rate,pr_ratio,sdlt_paid
2005-01-31,60,40452.42965929638,45194.62568421329,1.1172289542274034,RENT,0.053155,19.536042807885053,1623.1185694371843
2005-02-28,60,42154.72246803733,46788.468458053045,1.1099223460320282,RENT,0.05327,19.487404724356676,1621.3459609688098
2005-03-31,60,41917.698194444994,45297.345159486904,1.0806257764766718,RENT,0.053955,19.545664886462163,1627.5373741069873
2005-04-30,60,40263.09152163574,48850.50844286089,1.2132826019236655,RENT,0.05351,19.72421080282911,1645.3802613695766
2005-05-31,60,41145.80902181953,52819.24351201526,1.2837089552426915,RENT,0.052039999999999996,19.84358971666457,1659.5539501655342
2005-06-30,60,41692.94352902239,49613.83213002996,1.1899815155889353,RENT,0.05041,19.905043179259703,1667.1973044084334
2005-07-31,60,41576.12427590415,46528.108638880505,1.119106445086473,RENT,0.04928,20.053105569640874,1683.42058024046
2005-08-31,60,43545.31417170842,42551.690506050916,0.977181846438415,BUY,0.049269999999999994,20.06733870316663,1689.1286356508103
2005-09-30,60,43820.4990527491,44016.23258380473,1.0044667115913037,RENT,0.049080000000000006,20.00086888865265,1687.6923453563338
2005-10-31,60,43836.72617494306,41857.49215461329,0.9548498669259409,BUY,0.04938,19.87702251322258,1680.1243944938142
2005-11-30,60,40900.72744781058,46559.053205200995,1.1383429124729003,RENT,0.050845,19.926018179989118,1687.0364854504267
2005-12-31,60,38142.0590886345,46454.60587407258,1.217936498030203,RENT,0.051045,19.971898955085432,1696.8087767903817
2006-01-31,60,38474.33604851455,45037.01536427342,1.1705729062480403,RENT,0.050245,19.872365023782265,1693.7886739850146
2006-02-28,60,37271.8954694939,47795.63119597489,1.282350430369027,RENT,0.050455,19.864399882003124,1695.2604913748041
2006-03-31,60,35520.36606777049,47692.511129866325,1.3426807324809715,RENT,0.050679999999999996,19.962460079330178,1706.6636539466804
2006-04-30,60,32398.30114295965,49534.98841495289,1.5289378352394611,RENT,0.051615,20.272674830958387,1736.2163042341872
